Al,Albert
Alexander,Alex
Alexandra,Alex
Alfred,Al
Allison,Ally
Andrew,Andy
Art,Arturo
Ashley,Ash
Ben,Benjamin
Beth,Liz
Bev,Beverly
Bill,William
Bob,Robert
Carol,Caroline
Chris,Christopher
Chrissie,Christina
Christina,Chrissy
Court,Courtney
Daniel,Dan
Dave,David
Deanna,Dee
Drew,Andrew
Drew,Andy
Elizabeth,Beth
Gerald,Gerry
Gerald,Jerry
Grace,Gracie
Greg,Gregory
Jacob,Jake
Jeffery,Jeff
Jeff,Jeffrey
Jim,James
Joe,Joseph
Jon,Jonathan
Josh,Joshua
Kaitlin,Kait
Kate,Katie
Katherine,Kate
Kev,Kevin
Kim,Kimberly
Liz,Elizabeth
Luke,Lucas
Matthew,Matt
Max,Maxwell
Meghan,Meg
Meg,Megan
Michael,Mike
Muhammad,Mo
Nate,Nathan
Nathaniel,Nate
Nathaniel,Nathan
Nicholas,Nick
Nina,Katharina
Patrice,Pat
Patricia,Pat
Patrick,Pat
Pete,Peter
Phil,Philip
Rob,Bob
Rob,Robert
Samantha,Sam
Samuel,Sam
Steph,Stephanie
Steven,Steve
Sue,Susan
Teddy,Ted
Ted,Theodore
Tiff,Tiffany
Tim,Timothy
Tom,Tommy
Ty,Tyler
Will,Bill
William,Will
Willie,William
Zach,Zachary
Zack,Zachary
